Group,Speaker,Vowel,F1,F2,Notes
2,2,a,722.582855,1673.205871,https://vt.tiktok.com/ZSQRkMQee/
2,2,a,729.596727,1787.254947,https://vt.tiktok.com/ZSQRkMQee/
2,2,a,646.366439,1818.771058,https://vt.tiktok.com/ZSQRkMQee/
2,2,a,687.475281,1788.981271,https://vt.tiktok.com/ZSQRkMQee/
2,2,a,706.833871,1618.17069,https://vt.tiktok.com/ZSQRkMQee/
2,2,e,533.37615,2343.950962,https://vt.tiktok.com/ZSQRkMQee/
2,2,e,643.060977,2082.073073,https://vt.tiktok.com/ZSQRkMQee/
2,2,e,555.174032,2152.825201,https://vt.tiktok.com/ZSQRkMQee/
2,2,e,533.05537,2093.665948,https://vt.tiktok.com/ZSQRkMQee/
2,2,e,638.743999,1890.487941,https://vt.tiktok.com/ZSQRkMQee/
2,2,i,499.377327,2254.491317,https://vt.tiktok.com/ZSQRkMQee/
2,2,i,506.396337,2396.791518,https://vt.tiktok.com/ZSQRkMQee/
2,2,i,520.066176,2460.798938,https://vt.tiktok.com/ZSQRkMQee/
2,2,i,642.114768,2494.84311,https://vt.tiktok.com/ZSQRkMQee/
2,2,i,566.302584,2541.595084,https://vt.tiktok.com/ZSQRkMQee/
2,2,o,696.314168,1381.220678,https://vt.tiktok.com/ZSQRkMQee/
2,2,o,632.95136,1382.273738,https://vt.tiktok.com/ZSQRkMQee/
2,2,o,732.57807,1245.095117,https://vt.tiktok.com/ZSQRkMQee/
2,2,o,606.923113,1387.371628,https://vt.tiktok.com/ZSQRkMQee/
2,2,o,699.623225,1409.818224,https://vt.tiktok.com/ZSQRkMQee/
2,2,u,582.950352,943.44743,https://vt.tiktok.com/ZSQRkMQee/
2,2,u,575.904606,986.157257,https://vt.tiktok.com/ZSQRkMQee/
2,2,u,530.116206,1052.225767,https://vt.tiktok.com/ZSQRkMQee/
2,2,u,536.604706,878.162996,https://vt.tiktok.com/ZSQRkMQee/
2,2,u,459.233294,925.82536,https://vt.tiktok.com/ZSQRkMQee/
2,3,a,698.381232,1464.59099,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,a,763.805249,1415.998206,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,a,731.395635,1719.833997,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,a,682.434149,1751.369872,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,a,852.297707,1656.16046,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,e,455.1362,2354.219349,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,e,505.330197,1991.680995,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,e,454.926199,2284.33415,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,e,551.289761,1915.309484,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,e,495.418754,1989.408422,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,i,261.416331,2976.763127,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,i,374.298354,2700.817564,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,i,297.562912,2727.326089,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,i,272.279527,2810.888851,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,i,365.583397,2552.886628,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,o,537.401535,1047.040698,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
